label;prolific_id;response_lower;entrained;condition;gender_participant;age;sim;stimuli_order;set;order;f;experiment;group;gender_partner;randomBlock
serpent;fc2f3864bae1b1db60154104e8ffe03f04a039c8;snake;0;H;female;25;0.4334;1;1;1;0;experiment 1;no prime;NA;NA
serpent;62ba14e06e81ef0703b63f58d50e2c95dbf6c521;snake;0;H;female;29;0.363;1;1;1;0;experiment 1;no prime;NA;NA
serpent;00904d9e9077ef6e5d1108ff0ac82fff697e614d;snake;0;H;female;29;0.3277;1;1;1;0;experiment 1;no prime;NA;NA
serpent;c88933ebec85f8e42ce556fdcd45d93883aaea19;snake;0;H;female;22;0.2762;1;1;1;0;experiment 1;no prime;NA;NA
serpent;d53ef7adb23762e7350c2d61f3d40c33695d59fc;snake;0;H;female;27;0.3601;1;1;1;0;experiment 1;no prime;NA;NA
serpent;936a44b9cd3bbf0a384778937e112c994c636b26;snake;0;H;female;25;0.4388;1;1;1;0;experiment 1;no prime;NA;NA
serpent;d29930a804058d26bf2340b5d2cf0f2234b00491;snake;0;H;female;29;0.2908;1;1;1;0;experiment 1;no prime;NA;NA
serpent;feeddd4f78f0e81648f9d05501fe5406e2c3b08f;serpent;1;H;female;20;0.3332;1;1;1;0;experiment 1;no prime;NA;NA
serpent;e354ac7eaf3a2ae2741763f6f00756610f4af038;snake;0;H;female;23;0.3418;1;1;1;0;experiment 1;no prime;NA;NA
serpent;0ae43b6bf83b2e0f02735a6b75ba53bb2a250532;snake;0;H;female;23;0.3226;1;1;1;0;experiment 1;no prime;NA;NA
serpent;be65d3fb07a0838ae5c4494b9679d6250271150e;snake;0;H;female;22;0.3531;1;1;1;0;experiment 1;no prime;NA;NA
serpent;a6e5b220ce5feda0db13604e49fa9726b1f687d6;snake;0;H;female;29;0.3025;1;1;1;0;experiment 1;no prime;NA;NA
serpent;fe3c5fc86cc4704acabfb85585b599c62beeb3aa;serpent;1;H;female;30;0.1075;1;1;1;0;experiment 1;no prime;NA;NA
serpent;db74f9a72103e9f74b246279cfe76555585f86b6;snake;0;H;female;27;0.2725;1;1;1;0;experiment 1;no prime;NA;NA
serpent;699b628494685dc552998c05262fb7107c7330ed;snake;0;H;female;27;0.3863;1;1;1;0;experiment 1;no prime;NA;NA
